name,date,Green,Red,NIR,SWIR,NDVI,EVI2,SAVI,OSAVI,GNDVI,CIgreen,MSI,NDWI_SWIR,NDWI_Green,RVI,,LMI,NDVI,EVI2,SAVI,OSAVI,GNDVI,CIgreen,MSI,NDWI_SWIR,NDWI_Green,RVI,
1.000000 ,41640.000000 ,0.635661 ,0.644182 ,0.622327 ,0.111950 ,(0.017256),(0.017245),(0.018558),(0.015321),(0.010600),(0.020977),0.179890 ,0.695074 ,0.010600 ,0.966073 ,,(0.342526),0.99237381,,,,,,,,,,EVI2
1.000000 ,41641.000000 ,0.637978 ,0.648610 ,0.624379 ,0.110371 ,(0.019034),(0.019043),(0.020500),(0.016909),(0.010773),(0.021316),0.176769 ,0.699569 ,0.010773 ,0.962642 ,,(0.345829),0.99377194,0.999384516,,,,,,,,,SAVI
1.000000 ,41642.000000 ,0.642226 ,0.657022 ,0.629217 ,0.110332 ,(0.021618),(0.021682),(0.023350),(0.019226),(0.010232),(0.020257),0.175348 ,0.701624 ,0.010232 ,0.957679 ,,(0.348891),0.998597157,0.997290766,0.998258964,,,,,,,,OSAVI
1.000000 ,41643.000000 ,0.645741 ,0.663727 ,0.633465 ,0.115111 ,(0.023329),(0.023449),(0.025258),(0.020768),(0.009597),(0.019011),0.181716 ,0.692454 ,0.009597 ,0.954405 ,,(0.345974),0.982240965,0.970067044,0.974203093,0.979789161,,,,,,,GNDVI
1.000000 ,41644.000000 ,0.659495 ,0.679704 ,0.644639 ,0.114795 ,(0.026477),(0.026759),(0.028831),(0.023623),(0.011391),(0.022526),0.178077 ,0.697682 ,0.011391 ,0.948412 ,,(0.349694),0.971608678,0.959511759,0.95726773,0.966519558,0.975430775,,,,,,CIgreen
1.000000 ,41645.000000 ,0.666070 ,0.687142 ,0.650017 ,0.124424 ,(0.027764),(0.028132),(0.030312),(0.024797),(0.012198),(0.024102),0.191416 ,0.678674 ,0.012198 ,0.945972 ,,(0.340941),0.303237518,0.253621209,0.277685267,0.289855423,0.400827077,0.273173486,,,,,MSI
1.000000 ,41646.000000 ,0.674927 ,0.694749 ,0.657596 ,0.128576 ,(0.027473),(0.027935),(0.030086),(0.024566),(0.013006),(0.025678),0.195524 ,0.672907 ,0.013006 ,0.946523 ,,(0.337511),-0.372934426,-0.33008921,-0.353893868,-0.362790179,-0.466438966,-0.336569326,-0.988905062,,,,NDWI_SWIR
1.000000 ,41647.000000 ,0.675467 ,0.695758 ,0.657558 ,0.129224 ,(0.028227),(0.028702),(0.030918),(0.025243),(0.013435),(0.026513),0.196521 ,0.671512 ,0.013435 ,0.945095 ,,(0.337122),-0.982238821,-0.970063021,-0.974199744,-0.979786634,-1,-0.975429422,-0.400827077,0.466497675,,,NDWI_Green
1.000000 ,41648.000000 ,0.676041 ,0.696332 ,0.658940 ,0.129337 ,(0.027591),(0.028072),(0.030232),(0.024677),(0.012811),(0.025297),0.196281 ,0.671848 ,0.012811 ,0.946300 ,,(0.337186),0.971206707,0.965041751,0.959325933,0.967435934,0.939570499,0.979242538,0.177199088,-0.243565379,-0.939576259,,RVI
1.000000 ,41649.000000 ,0.676318 ,0.694553 ,0.659843 ,0.131394 ,(0.025628),(0.026084),(0.028076),(0.022920),(0.012330),(0.024359),0.199130 ,0.667877 ,0.012330 ,0.950026 ,,(0.334176),0.616391585,0.578210626,0.598515665,0.607411998,0.669620864,0.557211478,0.919333176,-0.950765535,-0.669698344,0.499872802,LMI
1.000000 ,41650.000000 ,0.680664 ,0.700334 ,0.662293 ,0.128779 ,(0.027917),(0.028447),(0.030635),(0.024984),(0.013679),(0.026989),0.194444 ,0.674419 ,0.013679 ,0.945682 ,,(0.338184),,,,,,,,,,,
1.000000 ,41651.000000 ,0.680481 ,0.699205 ,0.664031 ,0.129039 ,(0.025802),(0.026311),(0.028317),(0.023092),(0.012235),(0.024174),0.194327 ,0.674583 ,0.012235 ,0.949694 ,,(0.337593),,,,,,,,,,,
1.000000 ,41652.000000 ,0.676165 ,0.694007 ,0.657410 ,0.128891 ,(0.027080),(0.027533),(0.029650),(0.024214),(0.014064),(0.027738),0.196058 ,0.672159 ,0.014064 ,0.947267 ,,(0.336307),NDVI,EVI2,SAVI,OSAVI,GNDVI,CIgreen,MSI,NDWI_SWIR,NDWI_Green,RVI,
1.000000 ,41653.000000 ,0.676661 ,0.695041 ,0.660671 ,0.129425 ,(0.025352),(0.025813),(0.027782),(0.022676),(0.011957),(0.023631),0.195899 ,0.672381 ,0.011957 ,0.950550 ,,(0.336369),0.99237381,,,,,,,,,,EVI2
1.000000 ,41654.000000 ,0.676967 ,0.694950 ,0.661130 ,0.126258 ,(0.024939),(0.025398),(0.027332),(0.022307),(0.011835),(0.023393),0.190973 ,0.679299 ,0.011835 ,0.951335 ,,(0.339500),0.99377194,0.999384516,,,,,,,,,SAVI
1.000000 ,41655.000000 ,0.682891 ,0.703495 ,0.669320 ,0.128920 ,(0.024894),(0.025445),(0.027372),(0.022296),(0.010036),(0.019873),0.192613 ,0.676990 ,0.010036 ,0.951421 ,,(0.339326),0.998597157,0.997290766,0.998258964,,,,,,,,OSAVI
1.000000 ,41656.000000 ,0.683944 ,0.702205 ,0.667675 ,0.136894 ,(0.025206),(0.025745),(0.027699),(0.022570),(0.012036),(0.023787),0.205031 ,0.659709 ,0.012036 ,0.950827 ,,(0.330092),0.982240965,0.970067044,0.974203093,0.979789161,,,,,,,GNDVI
1.000000 ,41657.000000 ,0.686001 ,0.704617 ,0.668620 ,0.138735 ,(0.026213),(0.026786),(0.028824),(0.023478),(0.012831),(0.025336),0.207494 ,0.656322 ,0.012831 ,0.948913 ,,(0.328714),0.971608678,0.959511759,0.95726773,0.966519558,0.975430775,,,,,,CIgreen
1.000000 ,41658.000000 ,0.688935 ,0.706742 ,0.671226 ,0.154634 ,(0.025775),(0.026368),(0.028368),(0.023093),(0.013020),(0.025706),0.230376 ,0.625519 ,0.013020 ,0.949746 ,,(0.313401),0.303237518,0.253621209,0.277685267,0.289855423,0.400827077,0.273173486,,,,,MSI
1.000000 ,41659.000000 ,0.689352 ,0.704112 ,0.672158 ,0.150969 ,(0.023218),(0.023761),(0.025546),(0.020800),(0.012629),(0.024943),0.224604 ,0.633181 ,0.012629 ,0.954618 ,,(0.315565),-0.372934426,-0.33008921,-0.353893868,-0.362790179,-0.466438966,-0.336569326,-0.988905062,,,,NDWI_SWIR
1.000000 ,41660.000000 ,0.694802 ,0.709564 ,0.679862 ,0.143488 ,(0.021377),(0.021951),(0.023581),(0.019170),(0.010868),(0.021502),0.211054 ,0.651454 ,0.010868 ,0.958140 ,,(0.324100),-0.982238821,-0.970063021,-0.974199744,-0.979786634,-1,-0.975429422,-0.400827077,0.466497675,,,NDWI_Green
1.000000 ,41661.000000 ,0.696470 ,0.713108 ,0.682067 ,0.143061 ,(0.022249),(0.022868),(0.024569),(0.019960),(0.010448),(0.020680),0.209747 ,0.653238 ,0.010448 ,0.956470 ,,(0.325790),0.971206707,0.965041751,0.959325933,0.967435934,0.939570499,0.979242538,0.177199088,-0.243565379,-0.939576259,,RVI
1.000000 ,41662.000000 ,0.698185 ,0.712665 ,0.683699 ,0.164620 ,(0.020744),(0.021335),(0.022911),(0.018611),(0.010483),(0.020749),0.240779 ,0.611891 ,0.010483 ,0.959356 ,,(0.304724),0.616391585,0.578210626,0.598515665,0.607411998,0.669620864,0.557211478,0.919333176,-0.950765535,-0.669698344,0.499872802,LMI
1.000000 ,41663.000000 ,0.702278 ,0.713648 ,0.684864 ,0.179668 ,(0.020582),(0.021179),(0.022742),(0.018469),(0.012554),(0.024796),0.262341 ,0.584358 ,0.012554 ,0.959667 ,,(0.290165),,,,,,,,,,,
1.000000 ,41664.000000 ,0.706374 ,0.716289 ,0.688340 ,0.198319 ,(0.019898),(0.020506),(0.022011),(0.017863),(0.012930),(0.025531),0.288113 ,0.552659 ,0.012930 ,0.960981 ,,(0.274149),,,,,,,,,,,
1.000000 ,41665.000000 ,0.702568 ,0.713405 ,0.683398 ,0.199254 ,(0.021482),(0.022092),(0.023729),(0.019274),(0.013832),(0.027286),0.291563 ,0.548511 ,0.013832 ,0.957939 ,,(0.272741),,,,,,,,,,,
1.000000 ,41666.000000 ,0.706777 ,0.715836 ,0.686141 ,0.195626 ,(0.021181),(0.021808),(0.023419),(0.019011),(0.014815),(0.029197),0.285110 ,0.556287 ,0.014815 ,0.958517 ,,(0.275764),,,,,,,,,,,
1.000000 ,41667.000000 ,0.721276 ,0.729868 ,0.699745 ,0.204420 ,(0.021071),(0.021820),(0.023417),(0.018950),(0.015152),(0.029852),0.292136 ,0.547825 ,0.015152 ,0.958727 ,,(0.271411),,,,,,,,,,,
1.000000 ,41668.000000 ,0.732586 ,0.740085 ,0.709974 ,0.205712 ,(0.020766),(0.021593),(0.023162),(0.018702),(0.015675),(0.030866),0.289746 ,0.550694 ,0.015675 ,0.959314 ,,(0.272306),,,,,,,,,,,
1.000000 ,41669.000000 ,0.728909 ,0.737354 ,0.706745 ,0.204417 ,(0.021195),(0.022011),(0.023616),(0.019081),(0.015438),(0.030406),0.289238 ,0.551304 ,0.015438 ,0.958489 ,,(0.273025),,,,,,,,,,,
1.000000 ,41670.000000 ,0.747541 ,0.753788 ,0.720519 ,0.205611 ,(0.022566),(0.023564),(0.025276),(0.020357),(0.018407),(0.036149),0.285366 ,0.555978 ,0.018407 ,0.955864 ,,(0.274619),,,,,,,,,,,
1.000000 ,41671.000000 ,0.750777 ,0.757803 ,0.725744 ,0.204823 ,(0.021610),(0.022613),(0.024244),(0.019506),(0.016954),(0.033344),0.282225 ,0.559788 ,0.016954 ,0.957694 ,,(0.276594),,,,,,,,,,,
1.000000 ,41672.000000 ,0.762443 ,0.769327 ,0.735590 ,0.210114 ,(0.022418),(0.023546),(0.025241),(0.020263),(0.017926),(0.035220),0.285640 ,0.555645 ,0.017926 ,0.956148 ,,(0.274618),,,,,,,,,,,
1.000000 ,41673.000000 ,0.761821 ,0.770111 ,0.735034 ,0.204941 ,(0.023305),(0.024472),(0.026240),(0.021065),(0.017896),(0.035162),0.278818 ,0.563944 ,0.017896 ,0.954452 ,,(0.279260),,,,,,,,,,,
1.000000 ,41674.000000 ,0.762980 ,0.772356 ,0.736520 ,0.208503 ,(0.023750),(0.024954),(0.026758),(0.021473),(0.017646),(0.034680),0.283093 ,0.558734 ,0.017646 ,0.953602 ,,(0.277179),,,,,,,,,,,
1.000000 ,41675.000000 ,0.761799 ,0.770394 ,0.734225 ,0.203513 ,(0.024039),(0.025236),(0.027065),(0.021728),(0.018432),(0.036197),0.277181 ,0.565948 ,0.018432 ,0.953051 ,,(0.280444),,,,,,,,,,,
1.000000 ,41676.000000 ,0.771924 ,0.780260 ,0.744125 ,0.198719 ,(0.023705),(0.024978),(0.026775),(0.021453),(0.018337),(0.036014),0.267051 ,0.578469 ,0.018337 ,0.953688 ,,(0.286325),,,,,,,,,,,
1.000000 ,41677.000000 ,0.766497 ,0.772623 ,0.737965 ,0.193792 ,(0.022943),(0.024120),(0.025857),(0.020746),(0.018965),(0.037224),0.262603 ,0.584029 ,0.018965 ,0.955143 ,,(0.288153),,,,,,,,,,,
1.000000 ,41678.000000 ,0.771660 ,0.780429 ,0.743905 ,0.196744 ,(0.023961),(0.025245),(0.027064),(0.021684),(0.018314),(0.035969),0.264475 ,0.581684 ,0.018314 ,0.953200 ,,(0.288070),,,,,,,,,,,
1.000000 ,41679.000000 ,0.773020 ,0.781083 ,0.744208 ,0.196056 ,(0.024175),(0.025474),(0.027311),(0.021880),(0.018990),(0.037272),0.263442 ,0.582977 ,0.018990 ,0.952790 ,,(0.288477),,,,,,,,,,,
